date,text_compound,title_compound,BTC_headline,BTC_desc
2021-03-04,-0.4184,0.0,3 More Reason’s Ethereum’s (ETH) Bull Market Is Far From Over,"3 More Reason’s Ethereum’s (ETH) Bull Market Is Far From Over Ethereum Enters Bear Market! Oh No! After correcting more than 36% and entering a deep bear-market many traders and investors are wondering if Ethereum’s (ETH) run is over. Well,..."
2021-03-22,0.0,0.0,Canaan Stock is an Alternative Way to Trade Bitcoin (BTC),Canaan Stock is an Alternative Way to Trade Bitcoin (BTC) CAN Cryptocurrency mining equipment maker Canaan (NASDAQ: CAN) stock has exploded in 2021 as traders piled into this stock with the surge in Bitcoin (BTC) and cryptocurrency prices. Unlike b...
2021-04-01,-0.5859,0.0,"Six (6) Reasons Why Bitcoin Will Hit $90,000 This Year ","Six (6) Reasons Why Bitcoin Will Hit $90,000 This Year  Call Us Crazy But Bitcoin Will Probably Blow Past $70,000 As crazy as it may sound, especially when looking at Bitcoin’s (BTC) meteoric rise over the past year, but we think there is a..."
2021-04-24,-0.3382,-0.3595,"Bitcoin Corrects 27%, Oh No! (or Why It’s Time To Buy Bitcoin)","Bitcoin Corrects 27%, Oh No! (or Why It’s Time To Buy Bitcoin) BTC Time To Start Buying Bitcoin Again  With Bitcoin down more than 25%, we’re sure there are no few Bitcoin (CRYPTO: BTC) holders wondering if this is the beginning of the ..."
2021-06-01,0.9274,0.4588,QUALCOMM Incorporated (NASDAQ:QCOM) Short Interest Up 29.5% in May,"QUALCOMM Incorporated (NASDAQ:QCOM) Short Interest Up 29.5% in May QCOM QUALCOMM Incorporated (NASDAQ:QCOM) was the recipient of a significant growth in short interest in May. As of May 14th, there was short interest totalling 21,650,000 shares, a g..."
2021-06-06,0.0,0.0,"$4.86 Billion in Sales Expected for Square, Inc. (NYSE:SQ) This Quarter","$4.86 Billion in Sales Expected for Square, Inc. (NYSE:SQ) This Quarter SQ Equities research analysts expect Square, Inc. (NYSE:SQ) to report sales of $4.86 billion for the current quarter, Zacks reports. Ten analysts have made estimates for Square's..."
2021-07-14,0.0,0.0,"$40.05 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$40.05 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Equities analysts expect that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will report sales of $40.05 million for the current quarter, according to..."
2021-08-05,0.0,0.0,"Analysts Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $40.05 Million","Analysts Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $40.05 Million MARA Brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will report sales of $40.05 million for the current quarter..."
2021-08-09,0.2732,0.5423,Why You Might Want to Look into Cryptocurrencies to Build Long-Term Wealth (and Why You Might Not),Why You Might Want to Look into Cryptocurrencies to Build Long-Term Wealth (and Why You Might Not) Think you might want to invest in cryptocurrency? It should be a part of your portfolio: 1. As long as you can afford to lose the money you invest a...
2021-08-27,-0.1027,-0.4215,7 Stocks That Can Withstand a Taper Tantrum,"7 Stocks That Can Withstand a Taper Tantrum KLA Corporation The first stock on our list is KLA Corporation (NASDAQ: KLAC). This is a stock that certainly checks the box on Return on Equity. In its last quarter, KLA recorded an ROE of 68.1%. The compa..."
2021-09-17,0.0,0.0,"Marathon Digital (NASDAQ:MARA) Upgraded to ""Strong-Buy"" at Zacks Investment Research","Marathon Digital (NASDAQ:MARA) Upgraded to ""Strong-Buy"" at Zacks Investment Research MARA Marathon Digital (NASDAQ:MARA) was upgraded by Zacks Investment Research from a ""hold"" rating to a ""strong-buy"" rating in a note issued to investors on Friday, ..."
2021-10-01,0.0,0.0,"$89.30 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$89.30 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Equities analysts expect that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will post $89.30 million in sales for the current fiscal quarter, Zacks r..."
2021-10-13,-0.2732,0.0,"B. Riley Weighs in on Marathon Digital Holdings, Inc.'s Q3 2021 Earnings (NASDAQ:MARA)","B. Riley Weighs in on Marathon Digital Holdings, Inc.'s Q3 2021 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at B. Riley cut their Q3 2021 EP..."
2021-10-15,0.0,0.0,3 Cryptocurrency Comeback Stocks to Buy Now,"3 Cryptocurrency Comeback Stocks to Buy Now HUT After taking a major downturn in the summer, cryptocurrencies have been bouncing back in a big way throughout October and proving that investors still have an appetite for these high-flying and volatile..."
2021-10-21,0.0,0.0,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Post Quarterly Sales of $75.05 Million","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Post Quarterly Sales of $75.05 Million MARA Analysts expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to report $75.05 million in sales for the current quarter, Zacks Investment Research r..."
2021-11-08,0.0,0.0,"Zacks: Brokerages Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $75.05 Million","Zacks: Brokerages Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $75.05 Million MARA Wall Street brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will announce $75.05 million in sales for the c..."
2021-11-12,-0.4019,-0.25,Marathon Digital (NASDAQ:MARA) Shares Down 12.2% on Disappointing Earnings,"Marathon Digital (NASDAQ:MARA) Shares Down 12.2% on Disappointing Earnings MARA Marathon Digital Holdings, Inc. (NASDAQ:MARA) shares fell 12.2% during trading on Wednesday after the company announced weaker than expected quarterly earnings. The com..."
2021-11-18,0.0,0.0,"Zacks Investment Research Upgrades Marathon Digital (NASDAQ:MARA) to ""Strong-Buy""","Zacks Investment Research Upgrades Marathon Digital (NASDAQ:MARA) to ""Strong-Buy"" MARA Marathon Digital (NASDAQ:MARA) was upgraded by Zacks Investment Research from a ""hold"" rating to a ""strong-buy"" rating in a research note issued to investors on Th..."
2021-11-20,0.296,0.296,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) to Post Q1 2022 Earnings of $1.03 Per Share, B. Riley Forecasts","Marathon Digital Holdings, Inc. (NASDAQ:MARA) to Post Q1 2022 Earnings of $1.03 Per Share, B. Riley Forecasts MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Equities researchers at B. Ri..."
2021-11-27,0.0,0.0,"Brokerages Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million","Brokerages Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to announce $133.85 million in sales for the curren..."
2021-12-16,-0.128,-0.128,Marathon Digital (NASDAQ:MARA) Rating Lowered to Hold at Zacks Investment Research,"Marathon Digital (NASDAQ:MARA) Rating Lowered to Hold at Zacks Investment Research MARA Marathon Digital (NASDAQ:MARA) was downgraded by Zacks Investment Research from a ""buy"" rating to a ""hold"" rating in a research report issued on Thursday, Zacks.c..."
2021-12-18,0.0,0.0,"Zacks: Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million","Zacks: Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million MARA Wall Street brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will post $133.85 million in sales for the c..."
2021-12-22,0.0,0.0,"FY2022 Earnings Forecast for Marathon Digital Holdings, Inc. Issued By DA Davidson (NASDAQ:MARA)","FY2022 Earnings Forecast for Marathon Digital Holdings, Inc. Issued By DA Davidson (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at DA Davidson upped t..."
2022-01-05,-0.3818,-0.128,Marathon Digital (NASDAQ:MARA) PT Lowered to $74.00 at B. Riley,"Marathon Digital (NASDAQ:MARA) PT Lowered to $74.00 at B. Riley MARA Marathon Digital (NASDAQ:MARA) had its price target cut by investment analysts at B. Riley from $92.00 to $74.00 in a research report issued on Wednesday, The Fly reports. B. Riley..."
2022-01-07,0.0,0.0,"B. Riley Comments on Marathon Digital Holdings, Inc.'s FY2021 Earnings (NASDAQ:MARA)","B. Riley Comments on Marathon Digital Holdings, Inc.'s FY2021 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Equities researchers at B. Riley decreased their FY202..."
2022-01-07,0.0,0.0,"$85.75 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$85.75 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to post sales of $85.75 million for the current fiscal quarter, Zacks rep..."
2022-01-10,0.0,0.0,"FY2022 Earnings Estimate for Marathon Digital Holdings, Inc. (NASDAQ:MARA) Issued By DA Davidson","FY2022 Earnings Estimate for Marathon Digital Holdings, Inc. (NASDAQ:MARA) Issued By DA Davidson MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at DA Davidson upped the..."
2022-01-18,0.296,0.0,Marathon Digital (NASDAQ:MARA) Coverage Initiated by Analysts at BTIG Research,"Marathon Digital (NASDAQ:MARA) Coverage Initiated by Analysts at BTIG Research MARA Equities research analysts at BTIG Research initiated coverage on shares of Marathon Digital (NASDAQ:MARA) in a research note issued on Tuesday, The Fly reports. The ..."
