date,r2,s1,14 period RSI,y_test,predictions,daily returns,model returns
2022-02-15,43107.99045333333,41816.15045333333,62.59362609393962,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,45344.22399333333,43019.85399333333,59.10080286200444,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,44678.33212666667,43435.36212666667,45.44146998509954,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,44113.087,40021.587,43.68866766123384,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,41061.21250666666,39551.332506666666,44.1376708871559,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,40551.842553333336,39746.552553333335,38.7596845583592,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,40150.965253333336,38025.52525333333,35.016239425569665,1.0,1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,39432.611633333334,36738.261633333335,40.50192868404693,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,38954.598666666665,36875.598666666665,37.749249422182665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,39213.29718666667,37000.15718666667,42.383109223037266,1.0,-1.0,0.02891811304211722,0.02891811304211722
2022-02-25,40909.30162666667,35388.581626666666,45.96960371380083,-1.0,-1.0,0.02327223922638777,-0.02327223922638777
2022-02-26,40003.89754666667,38334.73754666667,45.61835781325569,-1.0,-1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,40443.23352666666,38667.96352666667,40.9550921789883,1.0,1.0,-0.03624153558887355,0.03624153558887355
2022-02-28,39949.74593333333,37094.045933333335,58.53778184164072,1.0,-1.0,0.14485582800848928,0.14485582800848928
2022-03-01,45799.367393333334,39023.697393333336,61.3968692046301,-1.0,-1.0,0.029221501390175986,-0.029221501390175986
2022-03-02,45381.97435999999,43242.954359999996,59.544894767415315,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,45485.75571333334,43419.845713333336,54.70393032578102,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,44197.943119999996,41929.10311999999,45.54448418552168,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,42533.2914,38555.9914,46.27514656168861,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,39884.688366666654,38679.03836666666,43.79475302219045,-1.0,-1.0,-0.024802045588147248,0.024802045588147248
