date,volume,r1,5 period EMA,y_test,predictions,daily returns,model returns
2021-12-21,37713.92924,47426.064373333335,47567.70514285715,-1.0,1.0,0.042113511144609594,
2021-12-22,27004.2022,49313.94938666666,47929.00266148616,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,35192.54046,49302.98065333333,48938.32044885012,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,31684.84269,51364.39289333332,49582.29830786084,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,19135.51613,51549.377739999996,49859.560353296,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,22569.88914,50953.38362000001,50168.44121331362,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,28783.57561,51202.73933333333,50347.487446927546,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,45853.33924,51705.578,49408.07806211467,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,39498.87,49815.64394666666,48423.566275364865,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,30352.29569,47680.32171333334,47988.340276128234,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,34937.99796,47737.62333333333,47396.96985879311,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,19604.46325,47910.835986666665,47505.640201829425,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,18340.4604,47962.28798666666,47432.43726922503,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,27662.0771,47820.412,47103.509802609035,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,35491.4136,47286.56800000001,46679.54903792011,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,51784.11857,47082.49694666667,45603.193564654095,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,38880.37305,46086.11666666667,44762.78671669158,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,54836.50818,43638.86044,43697.25620059021,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,32952.73111,42742.79039333334,43024.71084905279,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,22724.39426,42180.797999999995,42637.99858473992,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,50729.17019,42556.55842666666,42366.15521277593,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,37296.43729,42232.956999999995,42487.202272393355,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,33943.2928,43065.54207333333,42959.02705130381,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,34910.87762,44273.324,42826.0536606659,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,32640.88292,43959.89062666667,42904.022847060645,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,21936.05616,43403.017726666665,42964.11210695456,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
