date,5 period EMA,consecutive,s3,y_test,predictions,daily returns,model returns
2021-12-21,47567.70514285715,2.0,44691.473333333335,-1.0,1.0,0.042113511144609594,
2021-12-22,47929.00266148616,-1.0,45583.986666666664,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,48938.32044885012,1.0,47707.79333333334,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,49582.29830786084,-1.0,46590.16333333332,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,49859.560353296,-2.0,49579.24,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,50168.44121331362,1.0,49552.16,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,50347.487446927546,-1.0,48621.16333333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,49408.07806211467,-2.0,49440.48,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,48423.566275364865,-3.0,45129.22666666666,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,47988.340276128234,1.0,44858.153333333335,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,47396.96985879311,-1.0,44973.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,47505.640201829425,1.0,43944.136666666665,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,47432.43726922503,-1.0,45548.95666666667,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,47103.509802609035,-2.0,45974.06,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,46679.54903792011,-3.0,44696.700000000004,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,45603.193564654095,-4.0,44238.97666666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,44762.78671669158,-5.0,39770.37666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,43697.25620059021,-6.0,41724.21,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,43024.71084905279,1.0,39238.27333333333,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,42637.99858473992,2.0,39694.579999999994,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,42366.15521277593,-1.0,40363.76666666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
