date,title_compound,14 period RSI,s1,y_test,predictions,daily returns,model returns
2021-12-21,0.0,100.0,45835.11951333333,-1.0,-1.0,0.0836559793461078,
2021-12-24,0.0,98.29217408927865,47802.013333333336,-1.0,-1.0,-0.0012455051563953212,0.0012455051563953212
2021-12-27,0.0,43.64415849450288,49749.793999999994,1.0,-1.0,-0.08489982075997682,0.08489982075997682
2021-12-30,0.0,52.0263765224675,45927.98417999999,-1.0,-1.0,0.027074124721885306,-0.027074124721885306
2022-01-02,0.0,41.93195452322909,46219.86401333334,-1.0,-1.0,-0.03961724673713629,0.03961724673713629
2022-01-05,-0.128,28.4976378311581,45489.490000000005,1.0,-1.0,-0.09306879624088049,0.09306879624088049
2022-01-08,0.0,29.948272123986115,40614.44,1.0,-1.0,0.006159049310886955,-0.006159049310886955
2022-01-11,0.0,34.096894163153536,40221.5106,1.0,-1.0,0.017636922144042666,-0.017636922144042666
2022-01-14,0.0,36.88837388317304,41542.077926666665,-1.0,-1.0,0.01201947081433774,-0.01201947081433774
2022-01-17,0.0,32.76407497867099,42073.5829,-1.0,-1.0,-0.0327744507641452,0.0327744507641452
2022-01-20,0.0,20.9761643847868,41213.21249333333,1.0,-1.0,-0.1581514262718613,0.1581514262718613
2022-01-23,0.0,28.869095923382062,33900.286,1.0,-1.0,0.05380164247697983,-0.05380164247697983
2022-01-26,0.0,31.816254959987305,34038.755606666666,1.0,-1.0,0.020516084064427176,-0.020516084064427176
2022-01-29,0.0,34.69960356098838,36077.42879333333,-1.0,-1.0,0.019894179108593146,-0.019894179108593146
2022-02-01,0.0,32.425938665948706,37141.28568666667,1.0,-1.0,-0.030033353350542913,0.030033353350542913
2022-02-04,0.0,48.40209348405128,36457.13026666667,1.0,-1.0,0.13586280516975813,-0.13586280516975813
2022-02-07,0.0,53.094668216997114,38537.48552666667,-1.0,-1.0,0.046998799222385035,-0.046998799222385035
2022-02-10,0.0,48.00795322704853,42367.62736666667,1.0,-1.0,-0.048562495154680585,0.048562495154680585
2022-02-13,0.0,53.22000607540897,41664.11349333334,-1.0,-1.0,0.05511860262016999,-0.05511860262016999
2022-02-16,0.0,43.90944025256576,42392.885786666666,-1.0,-1.0,-0.10260263473720643,0.10260263473720643
2022-02-19,0.0,39.12534271763366,39376.614793333334,1.0,-1.0,-0.07420441662222155,0.07420441662222155
2022-02-22,0.0,42.14406948202416,36692.029760000005,-1.0,-1.0,0.03564213946329664,-0.03564213946329664
2022-02-25,0.0,41.09887505347461,35388.581626666666,1.0,-1.0,-0.016388878814815877,0.016388878814815877
2022-02-28,0.0,53.37749024739433,37070.06543333334,-1.0,-1.0,0.164298747953199,-0.164298747953199
2022-03-03,0.0,45.89949583969787,39210.88160666667,-1.0,-1.0,-0.10240863117519028,0.10240863117519028
2022-03-06,0.0,44.89393497345071,38460.62820666666,-1.0,-1.0,-0.01693818664722746,0.01693818664722746
2022-03-09,0.0,44.89225260255886,37556.651659999996,1.0,-1.0,-2.73685194379647e-05,2.73685194379647e-05
