date,VWAP.,pivot,4 period SMA,y_test,predictions,daily returns,model returns
2022-02-11,42259.67374332227,44163.48333333334,43571.22,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,42260.47000552285,42744.08000000001,43114.94,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,42260.22112159908,42328.746666666666,42535.175,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,42260.934578441695,42227.886666666665,42295.3,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,42287.14512266363,42309.63333333333,42838.082500000004,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,42306.224527609156,43907.76333333333,43252.005000000005,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,42292.41610458355,43910.176666666666,42867.515,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,42254.655728800055,41584.54,42227.14,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,42238.97071465154,40128.10666666667,41110.7175,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,42194.61882735863,40054.17333333333,39739.049999999996,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,42089.54598864781,38837.443333333336,38862.165,1.0,-1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,42000.868080028675,37767.503333333334,38426.137500000004,-1.0,-1.0,0.03302433841617636,-0.03302433841617636
2022-02-23,41934.42598713759,37669.776666666665,37718.8475,1.0,-1.0,-0.025642467642837508,0.025642467642837508
2022-02-24,41746.52134738898,37845.57666666667,37703.927500000005,1.0,-1.0,0.02891811304211722,-0.02891811304211722
2022-02-25,41692.42664447804,37497.496666666666,38256.68,-1.0,-1.0,0.02327223922638777,-0.02327223922638777
2022-02-26,41668.92012465954,38972.35666666667,38478.2775,-1.0,-1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,41614.81634810706,39346.11666666667,38590.542499999996,1.0,-1.0,-0.03624153558887355,0.03624153558887355
2022-02-28,41614.748167661564,38184.92333333333,39798.740000000005,1.0,-1.0,0.14485582800848928,-0.14485582800848928
2022-03-01,41663.25428479819,41612.003333333334,41099.2475,-1.0,-1.0,0.029221501390175986,-0.029221501390175986
2022-03-02,41709.65257594876,44060.06,42293.3125,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,41726.82833188257,44209.02333333334,43482.045,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,41695.6600154662,42795.799999999996,42479.21,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,41672.23883661177,40075.32,41223.4,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,41637.47813988821,39139.59666666666,39855.3575,-1.0,-1.0,-0.024802045588147248,0.024802045588147248
2022-03-07,41573.72408140315,38734.416666666664,38738.8575,1.0,-1.0,-0.011264988947395915,0.011264988947395915
2022-03-08,41527.0305769547,38230.19,38634.35,1.0,-1.0,0.019549068126776703,-0.019549068126776703
2022-03-09,41518.21757483488,38653.45333333334,39270.2875,-1.0,-1.0,0.08290802395933139,-0.08290802395933139
2022-03-10,41487.98538970798,41064.073333333334,39520.585,-1.0,-1.0,-0.0600764727999884,0.0600764727999884
2022-03-11,41449.0030510785,40000.45333333333,39705.9775,1.0,-1.0,-0.01756455786109279,0.01756455786109279
2022-03-12,41432.97582612486,39063.14333333333,39725.159999999996,-1.0,-1.0,0.0020085428265792515,-0.0020085428265792515
2022-03-13,41404.73140071276,38984.863333333335,38684.0675,1.0,-1.0,-0.026541872469552308,0.026541872469552308
2022-03-14,41375.545238370076,38221.950000000004,38746.41,-1.0,-1.0,0.05013666923081428,-0.05013666923081428
