date,title_pos,title_neg,low,y_test,predictions,daily returns,model returns
2021-12-21,0.0,0.0,46630.0,-1.0,-1.0,0.042113511144609594,
2021-12-22,0.0,0.0,48421.87,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,0.0,0.0,47920.42,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,0.0,0.0,50384.43,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,0.0,0.0,50142.32,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,0.0,0.0,49412.0,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,0.0,0.0,50449.0,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,0.0,0.0,47313.01,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,0.0,0.0,46096.99,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,0.0,0.0,45900.0,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,0.0,0.0,45678.0,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,0.0,0.0,46208.37,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,0.0,0.0,46654.0,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,0.0,0.0,45696.0,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,0.0,0.0,45500.0,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,0.0,0.143,42500.0,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,0.0,0.0,42430.58,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,0.0,0.0,40610.0,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,0.0,0.0,40501.0,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,0.0,0.0,41200.02,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,0.0,0.0,39650.0,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,0.0,0.0,41268.93,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,0.0,0.0,42450.0,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,0.0,0.0,42311.22,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,0.0,0.0,41725.95,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,0.0,0.0,42555.0,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,0.0,0.0,42581.79,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,0.0,0.0,41540.42,1.0,-1.0,-0.020199825128634497,0.020199825128634497
