date,title_pos,title_neg,5 period EMA,y_test,predictions,daily returns,model returns
2021-12-21,0.0,0.0,47567.70514285715,-1.0,-1.0,0.042113511144609594,
2021-12-22,0.0,0.0,47929.00266148616,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,0.0,0.0,48938.32044885012,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,0.0,0.0,49582.29830786084,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,0.0,0.0,49859.560353296,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,0.0,0.0,50168.44121331362,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,0.0,0.0,50347.487446927546,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,0.0,0.0,49408.07806211467,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,0.0,0.0,48423.566275364865,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,0.0,0.0,47988.340276128234,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,0.0,0.0,47396.96985879311,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,0.0,0.0,47505.640201829425,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,0.0,0.0,47432.43726922503,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,0.0,0.0,47103.509802609035,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,0.0,0.0,46679.54903792011,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,0.0,0.143,45603.193564654095,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,0.0,0.0,44762.78671669158,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,0.0,0.0,43697.25620059021,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,0.0,0.0,43024.71084905279,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,0.0,0.0,42637.99858473992,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
