date,title_pos,title_neg,s3,y_test,predictions,daily returns,model returns
2021-12-21,0.0,0.0,44691.473333333335,-1.0,1.0,0.042113511144609594,
2021-12-22,0.0,0.0,45583.986666666664,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,0.0,0.0,47707.79333333334,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,0.0,0.0,46590.16333333332,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,0.0,0.0,49579.24,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,0.0,0.0,49552.16,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,0.0,0.0,48621.16333333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,0.0,0.0,49440.48,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,0.0,0.0,45129.22666666666,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,0.0,0.0,44858.153333333335,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,0.0,0.0,44973.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,0.0,0.0,43944.136666666665,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,0.0,0.0,45548.95666666667,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,0.0,0.0,45974.06,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,0.0,0.0,44696.700000000004,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,0.0,0.143,44238.97666666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,0.0,0.0,39770.37666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,0.0,0.0,41724.21,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,0.0,0.0,39238.27333333333,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,0.0,0.0,39694.579999999994,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,0.0,0.0,40363.76666666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,0.0,0.0,38641.829999999994,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,0.0,0.0,40535.003333333334,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,0.0,0.0,41686.22,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,0.0,0.0,40934.996666666666,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,0.0,0.0,41022.066666666666,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,0.0,0.0,41901.43,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,0.0,0.0,42149.606666666674,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,0.0,0.0,40670.31333333333,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,0.0,0.0,40656.706666666665,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,0.0,0.0,40365.33,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,0.0,0.0,38628.049999999996,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,0.0,0.0,32002.369999999995,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,0.0,0.0,32477.659999999996,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,0.0,0.0,33883.530000000006,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,0.0,0.0,31076.34333333333,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,0.0,0.0,34890.68,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,0.0,0.0,34635.96666666666,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,0.0,0.0,34906.40000000001,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,0.0,0.0,35445.53333333334,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,0.0,0.0,36599.706666666665,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,0.0,0.0,36856.58666666666,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,0.0,0.0,35836.44666666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,0.0,0.0,37388.06333333333,1.0,1.0,-0.046472388000493026,-0.046472388000493026
