date,5 period EMA,consecutive,12 period EMA,y_test,predictions,daily returns,model returns
2022-02-06,40626.770444744914,1.0,39507.21368895405,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,41697.843630161755,2.0,40173.87522914428,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,42479.55908693595,3.0,40769.18453281306,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,43110.61272471086,4.0,41323.622579763236,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,43238.88848315235,-1.0,41657.77280220196,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,42950.502322083914,-2.0,41767.92688776144,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,42706.29154804598,-3.0,41837.152533951106,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,42488.747698691404,-4.0,41870.46285242003,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
2022-02-14,42504.47846579456,1.0,41972.847794826586,1.0,1.0,0.01146820514552127,0.01146820514552127
2022-02-15,43184.60564387126,2.0,42368.55454725185,-1.0,1.0,0.04722876701443535,0.04722876701443535
2022-02-16,43414.25709591602,-1.0,42600.10006988024,-1.0,1.0,-0.015070201141052064,-0.015070201141052064
2022-02-17,42448.07139727216,-2.0,42279.415844249954,-1.0,1.0,-0.07653493356819008,-0.07653493356819008
2022-02-18,41623.52759817849,-3.0,41924.79735301941,1.0,1.0,-0.013359265667383102,-0.013359265667383102
2022-02-19,41108.74173211776,1.0,41640.850060645505,-1.0,1.0,0.0026199241315199018,0.0026199241315199018
2022-02-20,40201.4578214104,-1.0,41140.23392434148,-1.0,1.0,-0.042223429277602254,-0.042223429277602254
2022-02-21,39137.02521427247,-2.0,40504.522833738156,1.0,1.0,-0.035916689265527824,-0.035916689265527824
2022-02-22,38834.79347618143,1.0,40154.64356234406,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,38306.53231745404,-1.0,39707.77313107974,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,38313.42487830269,1.0,39495.3773033686,1.0,1.0,0.02891811304211722,0.02891811304211722
