date,title_pos,title_neg,r1,y_test,predictions,daily returns,model returns
2021-12-21,0.0,0.0,47426.064373333335,-1.0,1.0,0.042113511144609594,
2021-12-22,0.0,0.0,49313.94938666666,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,0.0,0.0,49302.98065333333,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,0.0,0.0,51364.39289333332,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,0.0,0.0,51549.377739999996,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,0.0,0.0,50953.38362000001,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,0.0,0.0,51202.73933333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,0.0,0.0,51705.578,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,0.0,0.0,49815.64394666666,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,0.0,0.0,47680.32171333334,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,0.0,0.0,47737.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,0.0,0.0,47910.835986666665,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,0.0,0.0,47962.28798666666,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,0.0,0.0,47820.412,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,0.0,0.0,47286.56800000001,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,0.0,0.143,47082.49694666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,0.0,0.0,46086.11666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,0.0,0.0,43638.86044,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,0.0,0.0,42742.79039333334,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,0.0,0.0,42180.797999999995,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,0.0,0.0,42556.55842666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,0.0,0.0,42232.956999999995,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,0.0,0.0,43065.54207333333,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,0.0,0.0,44273.324,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,0.0,0.0,43959.89062666667,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,0.0,0.0,43403.017726666665,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,0.0,0.0,43622.02,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,0.0,0.0,43384.02288666667,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,0.0,0.0,42930.93365333333,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,0.0,0.0,42648.168666666665,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,0.0,0.0,42328.557740000004,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,0.0,0.0,42707.285579999996,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,0.0,0.0,39823.8681,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,0.0,0.0,36384.878039999996,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,0.0,0.0,36506.552180000006,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,0.0,0.0,37478.91439333333,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,0.0,0.0,37439.28148,1.0,1.0,-0.004031027384361674,-0.004031027384361674
