date,title_pos,title_neg,pivot,y_test,predictions,daily returns,model returns
2021-12-21,0.0,0.0,46670.193333333336,-1.0,1.0,0.042113511144609594,
2021-12-22,0.0,0.0,48282.94666666666,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,0.0,0.0,48862.05333333334,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,0.0,0.0,50044.743333333325,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,0.0,0.0,51004.81,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,0.0,0.0,50566.07000000001,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,0.0,0.0,50489.16333333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,0.0,0.0,51079.48,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,0.0,0.0,48520.26666666666,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,0.0,0.0,46900.24333333334,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,0.0,0.0,46973.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,0.0,0.0,46814.39666666667,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,0.0,0.0,47295.21666666667,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,0.0,0.0,47310.06,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,0.0,0.0,46570.700000000004,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,0.0,0.143,46296.51666666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,0.0,0.0,44340.37666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,0.0,0.0,43109.63,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,0.0,0.0,41774.10333333333,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,0.0,0.0,41493.579999999994,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,0.0,0.0,41950.44666666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,0.0,0.0,41240.329999999994,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,0.0,0.0,42366.073333333334,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,0.0,0.0,43558.22,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,0.0,0.0,43123.776666666665,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,0.0,0.0,42744.89666666667,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,0.0,0.0,43146.43,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,0.0,0.0,43042.81666666667,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,0.0,0.0,42306.073333333334,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,0.0,0.0,42097.706666666665,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
