date,title_pos,title_neg,14 period RSI,y_test,predictions,daily returns,model returns
2021-12-21,0.0,0.0,68.82043307426876,-1.0,1.0,0.042113511144609594,
2021-12-22,0.0,0.0,63.65395481815895,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,0.0,0.0,77.3271863999556,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,0.0,0.0,77.06624456037854,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,0.0,0.0,71.27779349600932,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,0.0,0.0,73.21495553072879,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,0.0,0.0,72.18196778793427,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,0.0,0.0,43.801686900416485,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,0.0,0.0,38.26491998521215,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,0.0,0.0,42.98478978943479,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,0.0,0.0,38.60617968464891,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,0.0,0.0,48.091449094322655,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,0.0,0.0,45.878705800971034,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,0.0,0.0,41.88418934925856,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,0.0,0.0,39.1975576968143,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,0.0,0.143,30.91721150194958,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,0.0,0.0,29.864741124409036,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,0.0,0.0,25.954191614261816,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,0.0,0.0,26.726228979378646,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,0.0,0.0,28.045081951718686,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,0.0,0.0,27.921749694778228,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,0.0,0.0,34.589400273404294,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,0.0,0.0,42.058472956832496,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,0.0,0.0,36.87070891518645,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,0.0,0.0,39.84571066449748,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,0.0,0.0,39.9939414841399,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,0.0,0.0,39.93892229615802,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,0.0,0.0,36.24035932602455,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,0.0,0.0,37.32163467103912,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,0.0,0.0,34.42995487436828,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,0.0,0.0,30.79494506838013,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,0.0,0.0,20.64197738840825,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,0.0,0.0,18.510180033614063,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,0.0,0.0,25.57784158466319,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,0.0,0.0,27.96264811887599,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,0.0,0.0,29.70113705608179,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,0.0,0.0,29.320141105151123,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,0.0,0.0,31.54657220320466,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,0.0,0.0,35.04241602755833,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,0.0,0.0,37.81006077663636,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,0.0,0.0,36.742678304080464,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,0.0,0.0,40.45814016939233,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,0.0,0.0,41.888460276527674,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,0.0,0.0,34.78202675438041,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,0.0,0.0,37.42216646919904,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,0.0,0.0,56.768959894680975,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,0.0,0.0,55.93165495772389,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,0.0,0.0,59.29896952725483,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,0.0,0.0,63.66875891239629,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,0.0,0.0,64.24392679784367,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,0.0,0.16,65.20741888411901,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,0.0,0.0,60.53372580699564,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,0.0,0.0,55.096079880214646,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,0.0,0.0,54.36532077009029,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
