date,title_pos,title_neg,EMA_DIFFERENCE,y_test,predictions,daily returns,model returns
2021-12-21,0.0,0.0,-247.4416922894743,-1.0,-1.0,0.042113511144609594,
2021-12-22,0.0,0.0,-325.81253194419696,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,0.0,0.0,-659.9063232960689,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,0.0,0.0,-801.0680337411832,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,0.0,0.0,-771.6382751156707,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,0.0,0.0,-771.7348955768975,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,0.0,0.0,-718.8037637418674,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,0.0,0.0,-141.41980826268264,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,0.0,0.0,366.0011386394399,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,0.0,0.0,521.6917539275528,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,0.0,0.0,734.1089807071185,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,0.0,0.0,558.7041081437274,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,0.0,0.0,505.9626261118683,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,0.0,0.0,595.2815255670648,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,0.0,0.0,721.5056901799326,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,0.0,0.143,1171.4167333973455,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,0.0,0.0,1429.0061100108214,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,0.0,0.0,1767.3553254083236,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,0.0,0.0,1846.8511976506197,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,0.0,0.0,1763.7431768305105,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,0.0,0.0,1633.5553158113107,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,0.0,0.0,1314.8864082973596,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,0.0,0.0,858.6794183906168,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,0.0,0.0,796.6414923858101,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,0.0,0.0,631.5172064030921,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,0.0,0.0,501.61141312784457,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,0.0,0.0,404.8464013286357,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,0.0,0.0,485.1049116775539,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,0.0,0.0,478.5318036674871,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,0.0,0.0,574.1781372690166,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,0.0,0.0,774.0234188669492,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
