date,r2,consecutive,low,y_test,predictions,daily returns,model returns
2021-12-21,47893.04229333334,2.0,46630.0,-1.0,1.0,0.042113511144609594,
2021-12-22,49950.903946666665,-1.0,48421.87,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,49575.38601333334,1.0,47920.42,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,52179.67377333333,-1.0,50384.43,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,51885.81226,-2.0,50142.32,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,51192.66638000001,1.0,49412.0,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,51643.58733333333,-1.0,50449.0,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,52092.382000000005,-2.0,47313.01,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,50615.92938666666,-3.0,46096.99,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,48162.254953333344,1.0,45900.0,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,48209.62333333333,-1.0,45678.0,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,48588.21734666667,1.0,46208.37,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,48374.40534666667,-1.0,46654.0,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,48135.708,-2.0,45696.0,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,47728.832,-3.0,45500.0,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,47568.07638666667,-4.0,42500.0,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,47164.63666666667,-5.0,42430.58,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,43965.819559999996,-6.0,40610.0,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,43341.24627333333,1.0,40501.0,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,42605.361999999994,2.0,41200.02,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,42931.01490666666,-1.0,39650.0,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,42846.202999999994,1.0,41268.93,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,43497.67459333334,2.0,42450.0,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,44715.116,-1.0,42311.22,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,44476.44270666666,1.0,41725.95,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,43809.60560666667,2.0,42555.0,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,43915.840000000004,-1.0,42581.79,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,43594.82044666667,-2.0,41540.42,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,43316.973013333336,1.0,41250.0,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,42988.244666666666,-1.0,41138.56,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,42663.81226,-2.0,40553.31,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,43403.88442,-3.0,35440.45,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,41159.5219,-4.0,34008.0,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,37052.10196,1.0,34601.01,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,36954.47782,2.0,32917.17,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,38572.262273333334,3.0,35701.0,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,37874.49852,-1.0,36234.63,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,38980.86296666667,1.0,35507.01,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,37701.43028000001,2.0,36155.01,1.0,1.0,0.01497466368497391,0.01497466368497391
