date,volume,consecutive,4 period SMA,y_test,predictions,daily returns,model returns
2021-12-21,37713.92924,2.0,47329.9375,-1.0,-1.0,0.042113511144609594,
2021-12-22,27004.2022,-1.0,47768.3575,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,35192.54046,1.0,48807.7525,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,31684.84269,-1.0,49784.212499999994,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,19135.51613,-2.0,50161.6575,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,22569.88914,1.0,50708.490000000005,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,28783.57561,-1.0,50674.14750000001,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,45853.33924,-2.0,49855.082500000004,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,39498.87,-3.0,48871.3325,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,30352.29569,1.0,47957.6775,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,34937.99796,-1.0,46836.55,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,19604.46325,1.0,46881.277500000004,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,18340.4604,-1.0,47086.6575,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,27662.0771,-2.0,46917.965000000004,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,35491.4136,-3.0,46821.735,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,51784.11857,-4.0,45753.854999999996,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,38880.37305,-5.0,44702.8875,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,54836.50818,-6.0,43482.9825,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,32952.73111,1.0,42444.915,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,22724.39426,2.0,42048.2875,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,50729.17019,-1.0,41733.3325,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,37296.43729,1.0,42024.035,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,33943.2928,2.0,42579.765,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,34910.87762,-1.0,42753.6375,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,32640.88292,1.0,43063.005000000005,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,21936.05616,2.0,43151.755000000005,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,20602.35271,-1.0,42944.005000000005,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,27562.08613,-2.0,42854.3825,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,29324.08257,1.0,42677.4225,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,31685.72159,-1.0,42321.3525,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,42330.33953,-2.0,41723.665,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,88860.891999,-3.0,40284.5875,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,90471.338961,-4.0,38464.4125,1.0,-1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,44279.52354,1.0,37110.5475,1.0,-1.0,0.033449743409305954,-0.033449743409305954
2022-01-24,91904.753211,2.0,36105.4075,1.0,-1.0,0.011472069593911227,-0.011472069593911227
2022-01-25,49232.40183,3.0,36233.659999999996,-1.0,-1.0,0.008127854753159802,-0.008127854753159802
2022-01-26,69830.16036,-1.0,36668.14,1.0,-1.0,-0.004031027384361674,0.004031027384361674
2022-01-27,53020.87934,1.0,36897.0275,1.0,-1.0,0.009529103211304513,-0.009529103211304513
2022-01-28,42154.26956,2.0,37161.08,1.0,-1.0,0.01497466368497391,-0.01497466368497391
2022-01-29,26129.49682,3.0,37463.20999999999,-1.0,-1.0,0.011938522495158699,-0.011938522495158699
2022-01-30,21430.66527,-1.0,37731.314999999995,1.0,-1.0,-0.0074693110564038045,0.0074693110564038045
2022-01-31,36855.2458,1.0,38058.015,1.0,-1.0,0.015446484007078931,-0.015446484007078931
2022-02-01,34574.44663,2.0,38302.5225,-1.0,-1.0,0.005919114875386322,-0.005919114875386322
2022-02-02,35794.6813,-1.0,37984.9025,1.0,-1.0,-0.046472388000493026,0.046472388000493026
2022-02-03,32081.10999,1.0,37842.365,1.0,-1.0,0.011254497733651725,-0.011254497733651725
2022-02-04,64703.95874,2.0,38619.2025,-1.0,-1.0,0.11424433306415893,-0.11424433306415893
2022-02-05,32532.34372,-1.0,39291.2025,1.0,-1.0,-0.004610065124446061,0.004610065124446061
2022-02-06,22405.16704,1.0,40662.33,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,51060.62006,2.0,42294.425,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,64880.29387,3.0,42911.61,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,34428.16729,4.0,43659.1425,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,62357.29091,-1.0,43937.785,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
